name,price,details,url,lat,lng,img1,img2,img3,img4
dcondo Shine Rangsit (ดีคอนโด ชายน์ รังสิต) ชั้น 8,"11,000 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 26.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ , เครื่องปรับอากาศ , เครื่องทำน้ำร้อน/น้ำอุ่น , ประตูห้องระบบ digital lock , TV , ตู้เย็น , เครื่องดูดควัน , เครื่องซักผ้า , ไมโครเวฟ | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , ที่จอดรถจักรยานยนต์ , การรักษาความปลอดภัย 24 ชั่วโมง , Access control (แสกนนิ้ว/Keycard) , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , บริการรถรับส่ง , สวนหย่อม / พื้นที่จัดบาร์บีคิว , ห้องสมุด , ร้านค้าในโครงการ , ร้านอาหารในโครงการ",https://propertyhub.in.th/listings/26-ตร-ม-11-000-เดือน-มีให้เลือกหลายห้อง---5866566,14.062188073792168,100.60840090919268,https://bcdn.propertyhub.in.th/pictures/202603/20260308/KPuRK8dFy9YZt1mQEgFP.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260308/ySbiygUBS5BUBiDKNUxW.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260308/DUtPBBvZe56iH6EE7cmR.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260308/Lgvo9TmkeZCE3S912GUo.jpg?width=1472&height=932
dcondo Campus Resort Rangsit (ดีคอนโด แคมปัส รีสอร์ท รังสิต) ตึก A ชั้น 2,"8,000 บาทต่อเดือน","ประเภทห้อง สตูดิโอ | ขนาด 29.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ , เครื่องปรับอากาศ | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , ที่จอดรถจักรยานยนต์ , การรักษาความปลอดภัย 24 ชั่วโมง , Access control (แสกนนิ้ว/Keycard) , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , บริการรถรับส่ง , สวนหย่อม / พื้นที่จัดบาร์บีคิว",https://propertyhub.in.th/listings/rb23922-ให้เช่าถูกมากดีคอนโด-แคมปัส-รีสอร์ท-รังสิตแอดไลน์-119dgdea-มี-ด้วย-แอดมินตอบไว---5926918,14.06301522777021,100.6073602420172,https://bcdn.propertyhub.in.th/pictures/202603/20260328/CCzXjna43bJgVc7yAnwR.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260328/KBQMwosmHaYN5Fuizz4e.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260328/7Dg9BDmWKVyBqcohLg5B.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260328/4HLTJXYAWXkmF9uCtNbS.jpg?width=1472&height=932
dcondo hype rangsit (ดีคอนโด ไฮป์ รังสิต) ชั้น 3,"9,000 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 27.52 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , ที่จอดรถจักรยานยนต์ , การรักษาความปลอดภัย 24 ชั่วโมง , มีอินเตอร์เน็ตไร้สาย (Wi-Fi) ในห้องพัก , Access control (แสกนนิ้ว/Keycard) , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , บริการรถรับส่ง , สวนหย่อม / พื้นที่จัดบาร์บีคิว , สนามเด็กเล่น / พื้นที่สำหรับเด็ก",https://propertyhub.in.th/listings/ให้เช่า-d-condo-hideaway-รังสิต-ตรงข้ามมหาวิทยาลัยธรรมศาสตร์-รังสิต-เฟอร์ครบ-ตอบไว-0649742441---6021165,14.04195341700244,100.6166814364538,https://bcdn.propertyhub.in.th/pictures/202605/20260503/PEtkRq4C9A1KdeEV68oG.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260503/dvtrBeoBaaj5zE9RAxNu.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260503/DgfzeWhy7BBQUe3y5gUU.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260503/rXg4DZut3caZuGU3AQ1M.jpg?width=1472&height=932
Kave Wonderland (เคฟ วันเดอร์แลนด์) ชั้น 3,"13,000 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 25.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: ไม่มีสิ่งอำนวยความสะดวกภายในห้อง | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถจักรยานยนต์ , การรักษาความปลอดภัย 24 ชั่วโมง , Access control (แสกนนิ้ว/Keycard) , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , สวนหย่อม / พื้นที่จัดบาร์บีคิว , สนามเด็กเล่น / พื้นที่สำหรับเด็ก , สนามกีฬา (สนามเทนนิส/สนามบาส) , ห้องประชุม , ร้านค้าในโครงการ , ร้านอาหารในโครงการ , ซัก อบ รีด , เลี้ยงสัตว์ได้",https://propertyhub.in.th/listings/เช่าคอนโด-เคฟ-วันเดอร์แลนด์-คลองหนึ่ง-คลองหลวง-ปทุมธานี-cx-153390-ทักไลน์-connexproperty-ตอบทันที-ทีมงานมืออาชีพ---6031876,14.065818421231052,100.61121161182004,https://bcdn.propertyhub.in.th/pictures/202605/20260507/hw11x84ZhiTdEajqxg59.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260507/C8GjdcZR2GkxRRGRaLB2.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260507/egjoAR2TcCxUUdxGD2kh.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260507/sKuRiUqNL1A23LeUTeUm.jpg?width=1472&height=932
dcondo vivid Rangsit (ดีคอนโด วิวิด รังสิต) ตึก A ชั้น 4,"11,000 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 1.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ , เครื่องปรับอากาศ , เครื่องทำน้ำร้อน/น้ำอุ่น , ประตูห้องระบบ digital lock , TV , ตู้เย็น , เครื่องซักผ้า , ไมโครเวฟ | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , ที่จอดรถจักรยานยนต์ , การรักษาความปลอดภัย 24 ชั่วโมง , Access control (แสกนนิ้ว/Keycard) , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , สวนหย่อม / พื้นที่จัดบาร์บีคิว",https://propertyhub.in.th/listings/ให้เช่า-dcondo-vivid-ม-กรุงเทพ-ค่าเช่า-11-000-เดือน-ขนาดห้อง-25-ตรม-ชั้น-4-ตึก-a-ตกแต่งพร้อมเข้าอยู่-สัญญา-2-ปี---6047218,14.0416704349705,100.6166926171006,https://bcdn.propertyhub.in.th/pictures/202605/20260510/gsUhcWudUkHdbnqwR2Yj.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260510/PtSCBUciSGPJjctiVdht.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260510/4Y1ZTYDxHQME3AgW8t91.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202605/20260510/RbdYjtWmXsymGCUgWjMJ.jpg?width=1472&height=932
TERRA RESIDENCE (เทอร์ร่า เรสซิเดนซ์) ชั้น 30,"16,000 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 30.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ , เครื่องปรับอากาศ , เครื่องทำน้ำร้อน/น้ำอุ่น , ประตูห้องระบบ digital lock , TV , ตู้เย็น , เครื่องซักผ้า | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , การรักษาความปลอดภัย 24 ชั่วโมง , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , สวนหย่อม / พื้นที่จัดบาร์บีคิว",https://propertyhub.in.th/listings/code-26kj1948-ให้เช่า-terra-residence-จองเดือนนี้รับส่วนลด1-000บาท-kjcondo-มี-ข้างหน้าด้วยนะคะ---5981612,14.06595230633576,100.61573258086396,https://bcdn.propertyhub.in.th/pictures/202604/20260421/s6chDHK9mEH3kQ9eKjMn.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260421/f48N6RDyEVzmXWkLZzdK.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260421/2X99Zobkq2uq2ZhESWe5.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260421/qCB6GRsTofdyuNUixL82.jpg?width=1472&height=932
Kave Wonderland (เคฟ วันเดอร์แลนด์) ตึก A ชั้น 4,"11,500 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 27.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ , เครื่องปรับอากาศ , เครื่องทำน้ำร้อน/น้ำอุ่น , ประตูห้องระบบ digital lock , TV , ตู้เย็น , เครื่องซักผ้า , ไมโครเวฟ | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถจักรยานยนต์ , การรักษาความปลอดภัย 24 ชั่วโมง , Access control (แสกนนิ้ว/Keycard) , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , สวนหย่อม / พื้นที่จัดบาร์บีคิว , สนามเด็กเล่น / พื้นที่สำหรับเด็ก , สนามกีฬา (สนามเทนนิส/สนามบาส) , ห้องประชุม , ร้านค้าในโครงการ , ร้านอาหารในโครงการ , ซัก อบ รีด , เลี้ยงสัตว์ได้",https://propertyhub.in.th/listings/เคฟ-วันเดอร์แลนด์-เฟอร์ครบครัน-ห้องว่างพร้อมอยู่เล๊ยยยย-ตึกa---5964457,14.065818421231052,100.61121161182004,https://bcdn.propertyhub.in.th/pictures/202604/20260411/KRUAGzJuaPfzATQ2KjUH.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260411/8pXP1tgkSnmDeFn648w4.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260411/RcLRva3sQjfiJvLQc82N.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260411/MkAA4i4AJ2ATrdX4PWpL.jpg?width=1472&height=932
TERRA RESIDENCE (เทอร์ร่า เรสซิเดนซ์) ชั้น 24,"12,500 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 30.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ , เครื่องปรับอากาศ | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , การรักษาความปลอดภัย 24 ชั่วโมง , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , โรงยิม / ฟิตเนส , สวนหย่อม / พื้นที่จัดบาร์บีคิว",https://propertyhub.in.th/listings/rb23876-ให้เช่าถูกมากterra-residenceแอดไลน์-119dgdea-มี-ด้วย-แอดมินตอบไว---5919437,14.06595230633576,100.61573258086396,https://bcdn.propertyhub.in.th/pictures/202603/20260325/vv9FYJ7fPetUPdPhDD3Q.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260325/b5WPUAzNLHTsdpnfCBLK.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260325/iubriANRLXxRxSv4NSJg.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202603/20260325/PeWMXjRLHssQHwwnM2rZ.jpg?width=1472&height=932
KAVE TU (เคฟ ทียู) ชั้น 5,"12,000 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 27.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: เฟอร์นิเจอร์ , เครื่องปรับอากาศ , เครื่องทำน้ำร้อน/น้ำอุ่น , TV , ตู้เย็น , เครื่องซักผ้า , ไมโครเวฟ | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , การรักษาความปลอดภัย 24 ชั่วโมง , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , ห้องสตรีม , ห้องจากุชซี่ , โรงยิม / ฟิตเนส , สวนหย่อม / พื้นที่จัดบาร์บีคิว , สนามเด็กเล่น / พื้นที่สำหรับเด็ก , ห้องสมุด , ร้านค้าในโครงการ , ร้านอาหารในโครงการ",https://propertyhub.in.th/listings/ntc-home-ให้เช่า-เคฟ-ทียู-ใกล้ม-ธรรมศาสตร์-ตึกa-ชั้น5-12-000-ด-27-ตรม-แอร์-2-ตัว-มีเครื่องซักผ้า---5967209,14.064693394329405,100.60906305245358,https://bcdn.propertyhub.in.th/pictures/202604/20260413/mnUth8TkoBstRcKsykj6.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260413/jZ5pdBjpMrAtxupcnfVU.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260413/WAhayyMdofxfbiE3gfP4.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260413/zrmHkHPD6B2gMj5nQui2.jpg?width=1472&height=932
KAVE TU (เคฟ ทียู) ชั้น 6,"11,000 บาทต่อเดือน","ประเภทห้อง 1 ห้องนอน | ขนาด 28.0 ตร.ม. | สิ่งอำนวยความสะดวกภายในห้อง: ไม่มีสิ่งอำนวยความสะดวกภายในห้อง | สิ่งอำนวยความสะดวกภายในโครงการ: ลิฟท์ , ที่จอดรถ , การรักษาความปลอดภัย 24 ชั่วโมง , กล้องวงจรปิด (CCTV) , สระว่ายน้ำ , ห้องสตรีม , ห้องจากุชซี่ , โรงยิม / ฟิตเนส , สวนหย่อม / พื้นที่จัดบาร์บีคิว , สนามเด็กเล่น / พื้นที่สำหรับเด็ก , ห้องสมุด , ร้านค้าในโครงการ , ร้านอาหารในโครงการ",https://propertyhub.in.th/listings/เช่าคอนโด-เคฟ-ทียู-คลองหนึ่ง-คลองหลวง-ปทุมธานี-cx-117644-ทักไลน์-connexproperty-ตอบทันที-ทีมงานมืออาชีพ--b0900980---5090647,14.064693394329405,100.60906305245358,https://bcdn.propertyhub.in.th/pictures/202604/20260409/soNjdm4LcY5vkQpiabFF.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260409/sP3Pr8dP5uGdSPFqqUmN.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260409/N4EsL1foqKCadz9fwFgB.jpg?width=1472&height=932,https://bcdn.propertyhub.in.th/pictures/202604/20260409/AFZ1koB9QdAuGPQ1EEVd.jpg?width=1472&height=932
